Rider ID,Active Rider Age,Average Partner Rating,Number of Ratings
113597,13,17.9,13
84525,6,9.45,122
92161,16,18.11,108
33695,17,7.9,130
39284,15,12.38,20
109618,13,18.94,372
65182,13,20.28,28
76291,4,19.85,42
106720,12,23.9,205
18124,10,19.75,103
102143,13,23.04,57
95657,6,19.21,218
10212,8,18.15,244
62353,8,13.56,133
80523,11,15.89,198
75233,17,20.69,207
34707,15,21.34,157
100257,8,16.37,146
75003,13,20.02,188
61525,9,18.38,32
92851,8,5.35,26
113781,14,18.78,9
64285,14,17.54,138
68379,15,21.42,31
38479,12,11.46,13
65527,3,14.44,98
93702,12,23.9,21
59869,12,24.1,440
73531,4,7.79,149
106674,12,22.68,105
54119,15,21.98,173
63158,17,18.55,284
47127,9,6.43,300
58535,4,24.13,253
113436,14,19.15,51
113965,12,17.29,432
47817,10,15.69,57
74152,17,14.93,127
59938,11,17.59,184
100211,15,23.2,40
103155,15,9.43,136
108353,14,18.9,123
114402,9,10,2
89907,8,17.3,310
39790,5,21.19,136
55936,16,13.44,249
70587,16,16.6,221
105087,10,10,1
94047,3,22.95,248
98923,14,18.15,0
107778,14,20.91,42
100004,11,18.61,76
29877,9,16.12,238
113413,11,10,1
86089,13,9.37,81
71645,15,20.18,17
56235,15,22.36,94
75739,14,9.35,234
40227,16,22.71,15
68310,14,21.02,46
54832,14,15.71,225
74497,16,11.29,185
86365,16,14.2,62
12834,11,21.32,146
102005,12,19.97,164
26450,14,24.96,195
51520,14,17.32,8
52348,16,16.49,165
114195,10,10,12
8579,10,24.36,20
55200,16,19.83,219
41929,13,21.9,67
4761,9,18.95,153
92115,13,14.76,218
80891,5,15.4,190
32752,8,16,83
44758,13,18.36,328
28658,13,16.8,159
72128,12,21.06,340
107801,13,16.7,92
103661,11,8.95,210
55660,15,19.87,83
32499,9,16.85,318
96485,14,20.41,137
80983,11,15.54,15
52026,7,12.89,187
69230,13,22.5,321
29486,13,16.05,114
66999,13,18.78,131
95956,12,21.1,208
99153,7,5.75,125
30153,11,10,1
62192,13,19.6,348
57776,13,22.03,216
69046,15,15.53,121
82409,7,6.9,543
92828,11,24.96,0
101062,13,22.66,48
78959,13,24.31,198
106329,8,19.34,332
74267,13,8.25,179
34845,12,24.1,11
98417,8,23.53,223
104742,7,20.64,40
99406,13,19.11,34
58995,10,21.58,306
90620,6,16.99,269
58052,12,18.47,382
60651,10,7.14,144
105202,11,10,4
112263,12,8.24,213
51865,14,19.74,74
52647,6,6.06,241
108192,12,6.34,70
69805,13,23.78,64
4462,11,21.32,116
52808,12,19.83,245
93288,10,19.14,89
70541,9,17.95,134
97704,13,10,1
90114,13,22.9,307
27071,7,10,9
102672,13,10,1
63687,9,10,1
93081,13,19.34,218
92299,13,22.52,363
76544,11,11.32,47
87469,12,17.29,198
12581,8,13.15,46
30268,13,21.77,197
50232,12,18.12,261
97796,12,20.02,43
6141,10,20.65,258
103638,10,19.33,358
80063,7,17.27,153
32476,10,16.76,309
37720,11,21.23,414
67114,4,23.5,156
64515,8,23.28,319
61939,4,20.84,88
70932,13,21.79,221
40457,8,10,4
105708,10,24.18,121
89171,12,19.52,51
64538,3,15.06,92
70955,12,19.32,62
53843,11,15.28,161
94277,12,9.82,269
51727,13,11.93,78
109503,4,17.22,132
101752,8,15.29,281
58466,10,24.5,264
60191,8,11.93,132
94714,11,18.88,324
46000,3,19.37,53
57109,11,18.48,330
114057,7,10,9
60030,12,20.46,121
86480,10,6.49,112
62422,11,19.42,114
63940,11,7.53,222
60950,6,15.93,290
80362,12,10.31,148
53567,9,12.26,113
96094,4,22.03,220
33189,12,13.8,41
60973,8,22.32,141
91747,8,20.19,288
58742,9,19.23,96
57753,11,18.62,96
36110,10,16.23,115
102327,12,8.62,123
59593,6,13.66,107
82570,11,20.43,128
61663,12,16.45,1
18239,12,18.5,68
96600,9,18.21,10
97520,9,9.02,122
9246,12,23.15,121
78085,11,17.65,70
76820,11,11.9,160
102534,10,8.7,42
65297,10,7.67,142
59340,9,18.62,196
107272,5,21.56,205
101775,8,22.34,89
72818,7,21.8,22
69736,8,6.66,254
80293,8,21.23,126
70058,11,20.99,76
24104,8,24.25,116
98969,9,18.61,136
103684,6,15.43,214
90666,9,19.6,107
104834,6,23.39,35
66056,9,22.1,6
103178,3,13.1,324
93978,7,16.39,180
53682,5,15.89,31
104696,10,24.18,89
39859,10,24.51,116
91839,9,24.39,201
60582,8,23.79,154
82662,9,16.56,359
99981,7,9.46,189
71024,7,17.18,172
53912,9,15.76,467
64469,9,19.58,77
103040,10,7.18,250
113183,8,9.26,294
52900,9,18.26,70
62284,9,19.93,79
57523,8,22.7,196
54464,10,23.61,49
97152,9,7.66,9
40871,7,19.61,16
50715,9,14.54,91
63986,10,9.32,23
26956,10,22.09,147
47955,6,18.4,141
94254,9,17.36,192
95197,4,19.5,286
9177,10,10,3
32959,5,9.13,47
73646,8,20.27,251
52187,10,14.9,34
51704,10,21.58,333
80454,3,16.44,334
27968,7,18.2,312
67666,6,16.55,140
91609,4,9.4,88
99337,9,13.9,74
53475,7,8.35,231
70817,10,22.31,209
52072,10,17.1,75
107732,8,22.66,279
43884,10,9.64,132
50623,8,16.91,301
64791,4,15.06,82
56327,9,20.25,441
61203,5,8.56,108
104903,9,17.78,199
90390,9,14.6,377
69897,9,21.35,160
69414,7,16.38,209
71254,5,22.55,259
94622,8,17.74,139
81305,6,11.02,55
29394,7,20.77,100
94783,8,15.82,220
85077,8,13.22,295
96117,6,24.22,162
45793,8,6.35,247
108652,5,5.27,113
109480,5,24.09,121
101016,9,24.87,40
55706,9,24.73,100
108376,5,13.31,54
87998,8,17.35,244
71553,9,9.35,196
76682,8,21.53,268
70173,8,21.85,3
78131,7,18.91,113
50048,7,18.59,21
105501,8,10,1
110975,5,20.69,80
57638,8,23.92,375
37697,5,21.45,99
65159,2,24.18,143
78223,8,18.07,85
98141,5,10,7
46437,7,19.45,32
111021,5,8.73,70
87814,6,21.21,243
54142,8,17.29,130
91724,8,21.53,27
102603,5,18.77,108
72381,7,21.83,232
54326,8,15.86,334
107847,5,16.07,129
106421,8,15.6,120
60283,7,16.65,24
71300,4,14.76,112
28267,6,18.44,0
36892,8,8.72,182
59271,7,20.08,56
50163,4,21.95,260
86388,6,18,168
54372,7,21.9,29
107088,7,18.83,141
78338,7,24.03,478
95289,6,20.25,4
63825,7,19.54,78
49680,8,15.93,315
84939,4,18.73,38
90344,7,12.02,29
60858,7,17.93,139
65504,7,20.65,24
68195,5,21.36,330
74060,6,20.67,151
60720,6,8.96,90
108238,6,8.54,39
86687,6,22.15,56
55821,5,16.99,61
71967,7,14.98,503
24426,3,23.19,441
97083,7,19.79,338
48185,2,19.63,195
59363,7,19.47,132
14398,5,19.14,144
45356,6,14.77,94
105317,6,21.01,422
31901,5,18.15,51
44068,4,17.99,452
85583,6,13.21,81
52739,2,21.31,79
61226,5,10,2
68264,6,21.74,197
51428,7,12.67,62
107157,7,20.19,9
91908,7,18.53,205
75348,6,17.38,90
108974,5,18.6,238
110676,1,23.17,144
82524,7,17.11,600
108767,4,18.98,148
100188,6,21.99,124
109273,6,24.27,237
69000,2,21.78,116
78844,5,17.08,141
45425,7,20.14,176
57546,5,18.95,292
108008,3,8.54,76
60812,6,16.77,307
39698,6,20.26,231
102488,3,14.42,284
56419,6,19.01,170
89424,5,18.8,365
110423,1,19.41,140
57937,5,21.24,212
94484,6,22.03,207
101361,2,21.37,174
50002,7,17.18,103
107893,6,21.52,240
65274,3,21.18,188
67367,7,19.48,3
111435,4,16.08,171
106950,7,13.67,212
95473,7,20.02,148
97750,7,19.62,114
90137,5,23.62,210
87262,4,22,53
107410,2,20.24,265
97911,6,17.31,20
49703,3,23.45,6
77004,6,17.47,175
85008,3,3.32,94
78522,3,24.78,128
80201,3,18.29,60
49243,5,6.61,237
106812,6,19.72,102
56971,6,18.74,135
86894,6,18.88,14
61548,4,10,114
72312,4,9.33,215
81144,5,21.36,119
101269,2,17.74,187
95151,6,19.35,274
108123,6,16.2,181
67827,2,14.39,92
105156,5,15.9,122
109411,6,21.08,291
112838,6,21.16,5
86227,3,14.75,196
91540,3,19.99,50
54280,6,12.09,24
58512,4,15.5,39
62882,6,18.96,23
40434,3,16.24,19
59731,4,24.88,121
70219,6,22.08,31
77073,6,24.77,355
103822,2,24.2,271
105179,5,17.81,81
58696,6,22.79,187
33718,6,16.73,10
45770,6,20.07,39
100970,5,13.47,62
76452,6,20.09,60
109664,6,23.47,104
66263,5,22.56,4
38870,6,17.35,368
50301,5,9.2,49
53291,5,21.54,39
96807,2,19.39,43
99475,5,24.85,231
113689,5,10,2
62169,6,21.08,32
25691,5,23.21,87
109319,3,17.63,341
64906,6,18.37,67
15295,3,19.35,6
64400,6,20.09,325
44137,4,22.26,112
57569,2,9.42,149
86549,6,22.84,277
110285,5,20.1,154
56925,2,22.51,339
67022,6,19.1,173
93012,5,20.08,17
40710,5,21.89,47
106283,6,2.41,123
114011,4,10,2
72220,6,24.92,158
94300,6,21.06,72
104857,5,23.56,178
108215,4,23.69,82
94691,6,16,3
103385,4,24.89,1
57960,4,6.38,31
65113,5,21.53,77
96623,6,15.62,381
103201,5,18.58,57
55223,5,19.47,222
56097,3,10.65,363
60329,4,18.31,213
67045,5,12.59,70
94852,5,16.76,111
91494,4,17.16,242
101246,4,24.64,89
109158,5,19.83,202
54579,4,24.74,48
51566,3,21.46,21
77556,3,17.35,139
91678,5,18.05,37
77418,4,9.12,260
89493,5,19.63,226
109227,5,17.84,235
56810,5,18.54,62
111527,2,2.77,236
100763,2,23.03,163
71599,3,23.56,278
4186,4,8.29,160
44804,4,21.24,71
56166,4,21.95,37
71047,5,13.25,182
71990,4,18.56,125
81236,5,24.92,36
1863,5,13.85,62
96968,5,19.41,44
102856,3,16.54,188
77602,5,18.42,115
78568,1,23.63,235
38249,5,9,1
57362,5,21.57,213
60789,4,21.72,60
69598,5,20.15,267
39606,5,11.29,386
107341,4,9.26,336
75141,4,17.74,118
90275,4,14.93,135
46621,4,18.06,35
105570,1,22.79,98
63595,3,17.28,95
113459,5,10,1
62928,5,23.57,28
103891,3,22.9,332
63802,4,15.82,131
9223,3,15.13,68
52049,3,19.07,0
110722,1,12.97,164
58765,4,17.46,164
98509,5,21,270
98831,3,8.61,188
46345,5,20.89,85
12420,2,18.81,127
65711,5,22.86,120
69828,5,11.13,273
84479,4,13.81,37
100395,3,9.14,117
57086,5,19.71,97
82616,5,20.02,137
33994,2,21.13,17
108054,3,13.54,287
55729,4,18.39,63
73715,5,19.78,298
99705,4,13.81,214
99222,4,20.58,91
104880,4,19.74,382
113367,4,17.69,209
69851,4,14.74,63
4807,4,23.45,91
33051,4,23.35,292
101591,2,21.06,93
104305,3,22.36,267
99061,3,14.31,9
58305,4,18.4,148
84341,4,20.45,12
89654,4,22.52,101
60398,3,8.3,76
92138,2,19.39,13
100602,4,20.13,80
58167,4,8.83,49
62399,2,15.22,312
34523,4,22.66,381
47058,4,23.95,181
54257,4,19.98,24
80569,2,20.09,36
47909,1,17.2,2
64308,1,23.35,26
67252,3,16.18,219
68402,1,23.26,69
87147,3,21.34,247
105662,3,17.5,27
68816,2,18.35,87
78545,3,22.29,130
84387,4,20.33,122
56994,1,23.66,231
94070,3,21.34,221
101798,3,22.4,29
108744,4,23.07,96
65366,4,18.31,14
101292,2,23.37,186
50692,4,14.66,44
114655,2,14.06,4
54625,1,15.65,54
108606,3,19.08,53
57155,3,19.57,160
28129,2,19.94,524
31970,4,15.38,295
81834,4,23.63,186
96784,4,19.7,154
51980,4,23.97,212
64170,4,15.35,40
93242,3,17.64,58
50117,4,23.17,96
67597,3,21.32,116
74474,4,24.85,339
92552,3,16.84,141
84640,3,23.23,141
37812,2,15.77,131
73439,1,16.45,127
101177,2,23.73,123
110400,1,20.51,233
62675,3,16.19,137
30084,3,18.77,90
35420,4,23.11,259
53613,3,20.39,311
72036,3,20.01,16
77993,4,21.85,411
102626,2,24.24,26
69644,3,18.7,153
30406,1,18.15,159
70265,4,17.08,6
75417,3,17.5,112
76337,1,22.6,307
71714,4,20.92,196
56281,3,19.42,109
76958,4,18.34,193
95059,4,16.08,128
69667,4,16.69,78
71530,4,9.59,119
113505,3,10,2
51290,4,11.89,129
57247,4,17.18,233
99176,2,13.71,68
109066,1,22.9,109
113344,4,10,2
114517,3,20.49,165
71760,4,22.7,110
35627,4,19.53,275
102350,4,18.47,7
62215,3,18.27,221
46713,3,14.86,483
53176,4,19.06,221
61686,4,20.6,273
101384,2,14.02,292
64952,3,24.91,146
77901,3,8.86,119
84732,1,13.23,102
33419,3,24.13,119
97060,3,24.31,274
107916,3,18.15,147
108698,3,18.32,161
64446,2,24.72,125
75463,3,17.27,24
84134,2,19.6,159
102396,2,15.95,2
105271,3,17.32,165
52854,3,5.24,99
67206,3,18.3,452
73324,3,18.82,239
43930,3,21.09,64
100740,3,22.64,414
96669,3,13.23,195
115782,2,20.42,334
88113,3,18.27,95
90160,3,21.94,223
84157,2,19.66,188
86733,3,20.03,217
89999,3,18.65,17
99590,3,19.7,112
108583,2,20.06,46
69391,3,13.26,62
99084,3,16.31,272
53222,3,24.02,248
114287,2,13.44,3
42481,3,18.12,385
102235,2,20.82,227
60421,2,17.74,13
62100,3,16.29,334
74106,3,18.35,13
97106,3,23.24,80
69575,3,21.42,263
71392,2,19.19,147
74451,3,21.75,217
77441,3,13.9,177
78407,2,20.79,183
104006,3,17.21,367
70886,3,18.52,136
92920,3,18.25,301
94760,3,19.66,172
97957,3,17.53,245
104351,3,21.93,60
78269,3,9.27,31
59202,3,23.54,181
67919,3,20.86,256
104213,3,24.12,38
109434,3,9.43,5
65021,1,22.27,197
90229,3,21.54,318
99843,2,9.91,266
105547,3,19.78,122
89539,2,14.52,250
64883,2,17.56,93
69920,3,17.62,101
77832,3,18.54,46
86802,3,17.6,173
53820,2,17.57,78
72174,3,20.55,20
75371,3,19.79,500
83720,2,16.8,55
17158,1,15.46,131
55890,1,19.93,0
81857,2,16.38,53
94645,3,15.92,41
49358,1,9.42,238
56258,3,20.17,275
60467,3,12.75,52
84870,3,18.78,3
111090,3,17.67,241
114149,3,21.94,49
61617,2,17.55,145
84663,3,20.69,5
91954,2,9.9,69
26979,2,22.7,333
42918,1,12.55,321
101200,2,9.95,30
113298,3,10,1
65642,3,24.18,40
87607,3,20.1,183
35604,2,21.99,214
99498,3,24.36,267
60513,2,22.32,20
69253,3,16.12,91
87078,3,9.75,335
46690,3,18.4,173
102649,3,18.71,108
111113,3,22.18,265
64055,3,19.33,25
108675,3,20.69,308
71323,2,23.54,228
17250,3,18.06,165
93472,3,17.51,155
57592,3,22.9,40
61847,1,15.51,77
59984,3,15.97,85
69690,3,10.95,198
75624,3,8.13,21
78499,1,21.22,167
89631,3,17.25,130
18331,3,21.62,260
32729,1,24.81,6
108399,2,16.95,378
113551,2,10,1
98900,2,7.64,170
55568,2,23.05,109
112792,2,10,1
76383,2,18.25,236
78361,2,17.35,111
81121,2,18.69,20
805,2,20.35,60
44367,2,23.86,358
51750,2,15.08,524
52555,2,20.65,31
53360,2,22.37,38
55959,2,17.16,348
111458,2,23.13,2
63871,2,17.93,86
66792,2,12.22,183
52095,1,20.22,53
108560,2,8.36,219
112470,2,22.27,103
72105,2,23.2,4
89309,2,19.44,71
94185,2,20.2,143
95105,2,20.89,0
113045,2,21.01,100
73738,2,14.76,282
13432,1,14.74,103
23460,2,12.27,133
99383,2,19.95,59
107617,2,19.23,300
67068,2,20.51,146
73048,2,14.03,41
76061,2,15.46,48
82455,2,21.17,182
85905,2,16.9,131
96025,2,18.94,183
38042,1,12.77,115
100924,2,9.13,60
107939,2,20.41,336
108721,2,22.04,157
55982,2,20.09,391
60214,2,20.76,39
70863,2,24.46,65
76705,1,14.08,189
92897,2,6.7,49
110791,2,24.71,196
58834,2,20.13,211
75325,2,17.47,256
79856,2,19.77,310
25001,2,9.13,161
106536,1,14.16,130
108928,2,21.84,71
110354,2,22.15,544
61732,2,19.88,330
96761,2,24.43,230
106835,1,19.76,271
54441,2,18.91,114
107640,2,24.82,81
110653,2,17.37,243
55637,1,15.42,31
59892,2,17.83,331
64492,2,16.33,370
70449,1,16.18,365
96462,2,23.39,38
37076,2,16.14,15
108284,2,19.48,1
111550,2,15.03,205
86756,2,9.92,86
49933,2,10,191
103500,1,20.01,42
55453,1,20.18,134
112654,2,19.9,323
94231,1,6.6,7
46828,2,20.06,71
106559,2,16.68,67
110377,1,15.47,21
111320,2,23.14,75
65596,2,22.3,242
66585,1,12.11,252
68839,1,15.1,444
90781,1,16.17,176
93748,2,17.37,145
105984,1,16.12,11
107663,2,24.82,73
62146,2,19.01,303
89079,2,20.43,9
94967,2,22.78,164
111067,2,16.63,134
34615,2,16.16,287
51842,2,19.36,73
56879,2,7.92,443
111573,1,22.51,215
61111,2,15.5,240
92943,2,20.24,209
35880,2,11.6,283
98785,2,8.86,90
102465,2,13.94,90
105386,2,21.97,47
110883,2,17.33,39
68471,1,17.66,59
77165,2,20.87,132
86112,1,17.29,196
103868,2,23.88,257
106582,2,18.45,184
54165,2,16.54,28
59248,2,19.99,187
63779,2,16.73,143
65619,2,5.6,32
71691,2,20.5,223
19481,1,18.33,543
102304,1,23.36,413
110699,2,16.59,125
65044,2,21.67,64
67137,2,24.66,56
82547,2,20.89,237
94116,2,12.5,53
30912,2,17.5,32
52325,2,20.9,54
108790,2,8.6,234
67620,2,24.49,12
104052,2,15.26,48
105018,2,23.31,7
54349,2,18.06,62
110561,2,19.95,93
74911,2,20.19,107
94806,2,10.63,169
97014,2,17.59,139
73462,2,23.2,158
107364,2,21.56,162
60996,2,22.37,271
68885,1,23.04,258
70771,2,14.68,114
92782,2,9.62,4
104259,2,22.8,466
107709,2,18.63,159
72059,2,19.74,85
73255,2,18.63,180
75210,2,15.4,123
99015,2,20,240
108031,2,22.71,304
57431,2,18.32,298
112953,2,6.99,153
59064,1,18.65,407
92598,2,22.22,71
93656,2,7.91,245
47219,2,24.13,107
104075,1,22.25,273
107571,1,21.81,153
60306,2,21.62,355
71898,2,21.38,135
54717,1,21.63,278
110147,1,21.93,147
81098,2,21.28,49
89447,2,16.31,14
100878,2,23.93,144
101223,2,20.51,92
106628,2,16.7,32
54211,2,15.89,282
107387,2,18.57,81
110446,2,14.46,234
60168,2,21.25,124
73876,2,15.22,245
87745,2,8.47,63
104282,2,13.27,76
72082,2,17.25,178
89240,2,18.88,205
96186,2,16.2,297
54050,2,9.55,39
108836,2,20,312
59087,2,23.21,71
76521,2,23.11,390
87423,2,21.96,162
102189,1,17.58,174
49220,1,20.31,45
106789,1,20.19,326
107594,1,17.95,33
109365,1,7.15,156
110607,1,21.53,81
111803,1,15.29,330
115207,1,19.85,80
63089,1,7.77,222
71001,1,9.19,149
73025,1,20.63,288
24380,1,14.9,112
94024,1,23.85,299
30452,1,15.95,74
110170,1,24.64,264
110952,1,18.65,119
58949,1,20.87,46
72266,1,16.92,167
74405,1,8.04,67
77303,1,24.68,243
89470,1,21.3,183
22103,1,18.45,104
94323,1,20.57,131
96393,1,19.34,352
48760,1,15.36,172
103937,1,17.45,155
110469,1,24.98,293
114540,1,21.4,394
68931,1,18.46,49
70840,1,9.69,75
71783,1,15.22,194
73899,1,17.13,35
75808,1,18.61,80
84502,1,22.81,326
87768,1,23.52,14
35742,1,16.01,121
45264,1,20.06,264
106973,1,22.42,4
62238,1,16.48,70
79304,1,9.33,53
93334,1,18.66,375
97290,1,19.53,30
102695,1,18.38,244
103753,1,8.88,91
108859,1,20.92,278
110331,1,18.2,83
61709,1,24.63,129
69713,1,21.2,163
70633,1,15.52,23
92644,1,13.2,4
98555,1,19.86,160
51934,1,19.32,93
108422,1,18.5,67
110630,1,17.12,266
63112,1,23.18,30
64101,1,10.44,43
74083,1,21.91,104
76843,1,18.68,63
20608,1,24.7,122
51359,1,17.54,236
104535,1,12.83,104
107134,1,17.34,128
110193,1,18.08,101
112815,1,14.49,5
66355,1,6.67,3
70403,1,23.13,119
75486,1,16.24,99
85192,1,24.69,334
94346,1,21.27,283
96416,1,8.84,96
39054,1,23.76,97
41975,1,21.69,381
44390,1,17.7,402
53383,1,24.25,212
110492,1,19.26,222
114609,1,9.37,39
66861,1,22.12,145
69874,1,20.46,66
71806,1,17.42,226
87791,1,22.72,254
102419,1,20.08,183
51152,1,22.97,391
104328,1,12.83,106
106122,1,17.55,110
113804,1,17.05,160
73347,1,12.22,156
74290,1,18.53,586
89355,1,18.31,213
93357,1,17.65,6
46759,1,17.07,39
73761,1,22.84,190
49266,1,21.64,122
50899,1,22.22,171
108445,1,22.16,140
119163,1,17.8,137
63135,1,9.09,203
69161,1,7.02,392
73071,1,16.42,316
82478,1,21.45,44
90206,1,12.12,240
24518,1,15,100
27301,1,8.73,149
94921,1,23.49,110
99797,1,15.55,96
43332,1,7.85,121
100625,1,14.92,46
53061,1,6.54,412
107962,1,14.9,326
110216,1,12.54,373
72358,1,15.41,106
85215,1,17.3,339
89516,1,18.73,348
97612,1,14.73,24
44413,1,18.39,88
102097,1,20.97,102
103109,1,20.75,71
56005,1,12.58,285
109250,1,11.86,214
110515,1,17.39,67
57684,1,20.37,68
66930,1,9.55,396
68977,1,17.99,61
71829,1,23.97,23
76728,1,21.16,304
78821,1,22.72,168
82317,1,18.55,190
20217,1,22.25,29
99613,1,19.69,8
102442,1,8.07,530
107019,1,23.31,43
110837,1,17.12,4
113850,1,21.78,12
72151,1,9.97,152
74313,1,24.81,275
82938,1,19.27,58
89378,1,8.08,205
91333,1,16.22,210
97382,1,15.96,60
36685,1,24.75,355
53245,1,20.48,117
58374,1,24.84,205
113252,1,19.18,130
74658,1,20.47,202
75716,1,21.27,182
89792,1,24.08,107
32821,1,21.95,194
37444,1,23.93,198
45034,1,20.95,36
103316,1,16.76,137
52762,1,24.26,248
106881,1,13.37,85
108468,1,20.21,12
113666,1,9,1
68287,1,20.17,93
72013,1,15.02,204
74129,1,17.73,52
79120,1,23.08,15
84847,1,21.45,85
6187,1,12.37,117
11316,1,7.33,38
92207,1,9.35,226
94093,1,22.12,243
53084,1,21.88,44
110239,1,17.85,246
112861,1,16.44,330
114126,1,21.98,386
85238,1,20.86,47
1909,1,23.94,82
17894,1,21.46,240
98463,1,15.38,105
99291,1,24.5,121
101315,1,19.44,89
104949,1,14.45,431
53429,1,15.74,68
107525,1,11.47,217
110538,1,14.96,7
114678,1,19.78,385
62905,1,21.88,195
66953,1,19.86,19
68126,1,24.39,104
71852,1,15.6,33
72933,1,23.67,105
24127,1,17.34,20
95887,1,18.97,120
101683,1,5.93,96
107042,1,22.83,23
55499,1,17.88,369
108629,1,20.12,206
112700,1,18.32,134
67321,1,21.17,130
74336,1,9.74,74
89401,1,9.89,17
97474,1,24.17,106
104811,1,9.79,203
52463,1,13.15,92
113275,1,24.18,47
114356,1,10,1
67942,1,20.39,134
69782,1,21.7,166
72657,1,20.23,34
78591,1,5.96,177
45149,1,20,205
104236,1,19.45,386
106904,1,18.52,175
107686,1,15.98,245
108491,1,22.59,93
79143,1,15.99,255
87055,1,14.84,93
6233,1,18.12,17
92230,1,16.27,48
93265,1,18.37,6
24587,1,20.61,329
97175,1,20.34,377
99866,1,7.51,138
100671,1,16.88,65
104650,1,21.71,234
55683,1,13.14,92
110262,1,14.15,219
58236,1,16.82,141
112930,1,23.78,80
65412,1,24.34,100
76475,1,23.04,132
85261,1,4.77,158
2392,1,21.81,20
91586,1,21.08,247
37168,1,19.7,27
99314,1,14.82,20
101338,1,18.05,87
47196,1,21.34,215
106743,1,15.92,265
107548,1,15.72,233
55177,1,7.04,149
111596,1,22.45,75
115046,1,7.39,38
69023,1,21.42,418
71875,1,24.95,344
72979,1,17.47,161
92966,1,6.69,217
101706,1,16.33,241
105432,1,23.75,184
107065,1,19.77,76
54671,1,16.27,5
107870,1,22.48,278
55522,1,16.85,5
109687,1,8.67,134
61456,1,18.94,416
67344,1,21.62,59
74359,1,19.68,105
77211,1,9,57
84019,1,19.82,245
85100,1,9.13,75
91448,1,15.41,379
102948,1,7.84,305
52486,1,18.29,39
55039,1,20.9,7
55913,1,21.16,72
58420,1,20.27,151
61824,1,19.38,226
66700,1,23.26,230
75762,1,20.24,452
84456,1,17.67,204
91793,1,20.6,425
33005,1,16.04,183
98647,1,16.8,4
42550,1,20.07,5
106927,1,18.58,62
55338,1,5.72,97
108514,1,20.31,63
112309,1,9,1
78062,1,21.77,309
79189,1,19.87,101
84893,1,23.39,153
89194,1,24.84,513
90321,1,24.25,107
92253,1,16.59,210
94139,1,18.42,26
43631,1,9.71,28
100694,1,9.98,49
45885,1,24,227
104673,1,16.13,13
107226,1,11.91,111
108813,1,15.54,332
56603,1,19.12,54
73692,1,24.78,124
74520,1,18.53,103
76498,1,20.58,188
81374,1,21.35,160
85353,1,19.91,73
2530,1,21.67,44
89608,1,23.63,49
109342,1,23.89,138
110584,1,10.69,10
111619,1,19.99,293
59455,1,14.32,185
115069,1,15.24,308
73002,1,21.66,140
84709,1,23.82,209
104489,1,14.62,125
110929,1,13.91,71
64423,1,19.22,48
69506,1,20.93,80
70311,1,14.87,216
74382,1,11.22,3
92460,1,18.56,120
34431,1,14.9,35
100096,1,16.03,181
44206,1,23.01,50
66723,1,16.23,337
89953,1,14.03,234
108537,1,19.31,7
112424,1,19.33,178
79235,1,23.39,257
80868,1,14.15,148
87101,1,22.81,16
92276,1,24.33,234
94162,1,21.2,230
99038,1,19.16,48
100717,1,9.21,35
45931,1,24.22,23
110308,1,19.88,285
111136,1,9.74,109
113022,1,23.39,356
114218,1,8.97,47
74543,1,17.77,94
77533,1,19,172
81489,1,14.06,25
85445,1,22.75,278
13202,1,24.46,163
92621,1,20.83,135
115184,90,24.89,175
116219,72,10,2
118036,98,21.64,445
117852,66,24.93,411
121049,55,23.77,361
117806,66,24.64,164
120267,66,21.58,96
121026,53,21.95,144
118312,81,24.43,312
8694,78,4,5
115644,93,18.26,11
114862,72,4.81,286
13110,72,11.56,5
116955,77,24.83,235
114977,78,20.75,9
118082,95,24.83,241
118427,91,24.22,230
20884,68,24.13,229
117668,71,23.72,232
118611,67,23.85,207
117714,74,18.76,213
118013,77,22.02,13
121302,46,10,1
117139,51,15.23,205
117760,77,24.84,189
120336,69,23.74,196
118910,79,24.79,190
117024,56,23.45,146
122107,36,24.27,164
72611,84,10,3
118059,48,18.36,158
116656,48,24.61,77
116587,60,21.02,190
118772,64,23.83,76
118220,99,10,137
118151,45,15.51,98
116541,88,10,137
121325,46,24.81,52
118680,56,22.52,126
118266,72,15.3,124
120543,60,22.58,117
121279,48,10,131
115092,64,24.39,130
116242,65,10,121
116932,51,24.24,105
118956,18,10,6
117231,40,19.73,104
122889,26,18.51,223
118105,34,24.3,99
117530,52,23.52,100
123694,15,16.53,142
115115,45,10.1,84
118703,36,21.3,35
119922,33,20.34,89
85744,42,21.99,87
117622,40,24.54,87
120750,32,21.04,75
117093,25,10.24,20
117208,42,12.77,54
117967,35,10,69
117001,23,17.62,71
119853,27,16.41,135
121509,19,10,3
117990,54,23.8,33
10258,34,24.51,61
118634,35,22.48,58
117461,16,19.79,58
118841,39,18.78,54
118979,23,4.66,19
118864,18,21.41,51
121371,12,24.49,39
116196,29,22.52,51
118565,34,23.43,25
123142,18,21.54,53
115897,14,21.19,53
119945,25,15.46,44
121210,27,17.86,31
118243,30,4,27
118542,24,10,41
122245,13,21.87,34
120290,31,19.7,89
117047,20,19.77,154
117737,16,21.86,37
123418,13,20.64,35
115874,25,11.11,3
123004,12,24.38,32
121555,13,10,1
116265,26,10,30
122268,14,19.79,255
118404,20,13.02,23
122153,13,10,19
117185,18,6.45,114
122728,14,10,12
95519,12,22.09,20
118657,13,24.01,20
114931,12,24.84,32
